Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18903409,"Weekend Warriors (Sisterhood, #1)",Fern Michaels,"Michaels, Fern",,,,0,4.05,Zebra Books,Kindle Edition,331,2013,2001,,25/05/21,to-read,to-read (#434),to-read,,,,0,,,0,,,,,
12868761,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,"Lawson, Jenny",,0399159010,9780399159015,0,3.87,Amy Einhorn: Putnam,Hardcover,318,2012,2012,,25/05/21,to-read,to-read (#433),to-read,,,,0,,,0,,,,,
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,0670026603,9780670026609,0,4.25,Pamela Dorman Books/Viking,Hardcover,369,2012,2012,,25/05/21,to-read,to-read (#432),to-read,,,,0,,,0,,,,,
46016436,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,0241425441,9780241425442,0,4,Penguin Viking,Hardcover,377,2020,2020,,25/05/21,to-read,to-read (#431),to-read,,,,0,,,0,,,,,
4102763,Paths of Glory,Jeffrey Archer,"Archer, Jeffrey",,0312539517,9780312539511,4,3.96,St Martins Pr,Hardcover,363,2009,2009,11/07/18,06/07/18,,,read,,,,1,,Mrigya Fogat,0,,,,,
14096,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,"Kabat-Zinn, Jon",,1401307787,9781401307783,0,4.1,Hachette Books,Paperback,304,2005,1994,,23/05/21,to-read,to-read (#430),to-read,,,,0,,,0,,,,,
25234783,Unposted Letter,Mahatria Ra,"Ra, Mahatria",,8190381601,9788190381604,0,4.39,Manjul,Hardcover,220,2009,2009,,21/05/21,to-read,to-read (#429),to-read,,,,0,,,0,,,,,
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,,,0,4.02,Harper Perennial Modern Classics,Paperback,294,2006,1963,,14/05/21,to-read,to-read (#428),to-read,,,,0,,,0,,,,,
29246677,Price Action Breakdown: Exclusive Price Action Trading Approach to Financial Markets,Laurentiu Damir,"Damir, Laurentiu",,,,0,4.24,Laurentiu Damir,Kindle Edition,77,2016,,,13/05/21,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
40532207,Advanced Techniques in Day Trading: A Practical Guide to High Probability Day Trading Strategies and Methods,Andrew Aziz,"Aziz, Andrew",,,,0,4.27,,Kindle Edition,353,2018,,,13/05/21,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
4230569,Collected Maxims and Other Reflections,François de La Rochefoucauld,"Rochefoucauld, François de La",,0199540004,9780199540006,0,4.05,Oxford University Press,Paperback,400,2008,1665,,13/05/21,to-read,to-read (#427),to-read,,,,0,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",,0143058142,9780143058144,0,4.23,Penguin,Paperback,671,2002,1866,,27/12/20,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
